『銀河鉄道の夜』宮沢賢治,En_text,Happy,Angry,Surprise,Sad,Fear
「ああ、遠くからですね。」,"Ah, from afar.""",0,0,0,0,0
鳥捕りは、わかったというように雑作なくうなずきました。,The bird catcher nodded curtly as if he understood.,0.0,1.0,0.0,0.0,0.0
「もうここらは白鳥区のおしまいです。ごらんなさい。あれが名高いアルビレオの観測所です。」,This is the end of the Swan District. Look at this. That is the famous Albireo observatory.,0,0,0,0,0
"窓の外の、まるで花火でいっぱいのような、あまの川のまん中に、黒い大きな建物が四棟ばかり立って、その一つの平屋根の上に、眼もさめるような、青宝玉と黄玉の大きな二つのすきとおった球が、輪になってしずかにくるくるとまわっていました。
黄いろのがだんだん向うへまわって行って、青い小さいのがこっちへ進んで来、間もなく二つのはじは、重なり合って、きれいな緑いろの両面凸レンズのかたちをつくり、それもだんだん、まん中がふくらみ出して、とうとう青いのは、すっかりトパースの正面に来ましたので、緑の中心と黄いろな明るい環とができました。
それがまただんだん横へ外れて、前のレンズの形を逆に繰り返し、とうとうすっとはなれて、サファイアは向うへめぐり、黄いろのはこっちへ進み、また丁度さっきのような風になりました。","Outside the window, in the middle of the Ama River, which looked like it was full of fireworks, stood four large black buildings. On the flat roof of one of them, two large, eye-catching, clear balls, one blue and one yellow, were spinning in a circle.
Soon the two tips overlapped each other, forming a beautiful green double-sided convex lens, and the center of the lens gradually bulged out, until finally the blue one was completely in front of Topaz, creating a green center and a bright yellow ring. The blue one was now completely in front of Topaz, creating a green center and a bright yellowish ring.
The sapphire lens moved toward us, and the yellow one moved toward us, just like before.",0.15,0.05,0.0,0.3,0.5
銀河の、かたちもなく音もない水にかこまれて、ほんとうにその黒い測候所が、睡っているように、しずかによこたわったのです。,"Surrounded by the formless, soundless waters of the galaxy, the black weather station lay still as if asleep.",0.33,0.33,0.0,0.33,0.0
「あれは、水の速さをはかる器械です。水も……。」,"That's an instrument that measures the speed of water. Water is also .......""",0.0,0.0,0.0,1.0,0.0
鳥捕りが云いかけたとき、,When the bird catcher was about to say,0.0,1.0,0.0,0.0,0.0
「切符を拝見いたします。」,"Let me see your ticket.""",0,0,0,0,0
"三人の席の横に、赤い帽子をかぶったせいの高い車掌が、いつかまっすぐに立っていて云いました。
鳥捕りは、だまってかくしから、小さな紙きれを出しました。","A tall conductor with a red hat stood upright beside the three seats.
The bird catcher quietly took out a small piece of paper from his hiding place.",0.0,0.6,0.0,0.0,0.4
車掌はちょっと見て、すぐ眼をそらして、（あなた方のは？）というように、指をうごかしながら、手をジョバンニたちの方へ出しました。,"The conductor looked at them for a moment, looked away quickly, and then put his hand out toward Giovanni and the others, waggling his fingers as if to say, ""What about yours? The conductor looked at them for a moment, looked away, and then put his hand out toward Giovanni and the others, waggling his fingers as if to say, ""What's yours?",0.0,0.29,0.0,0.43,0.29
「さあ、」,"Come on.""",0,0,0,0,0
"ジョバンニは困って、もじもじしていましたら、カムパネルラは、わけもないという風で、小さな鼠いろの切符を出しました。
ジョバンニは、すっかりあわててしまって、もしか上着のポケットにでも、入っていたかとおもいながら、手を入れて見ましたら、何か大きな畳んだ紙きれにあたりました。
こんなもの入っていたろうかと思って、急いで出してみましたら、それは四つに折ったはがきぐらいの大きさの緑いろの紙でした。","Giovanni was puzzled and fidgeted.
Giovanni was so flustered that he thought it might have been in his jacket pocket, but when he put his hand in to look, he found a large folded piece of paper.
Thinking it might have been in his jacket pocket, he rushed to pull it out and found it to be a green-colored piece of paper about the size of a postcard, folded into four.",0.17,0.0,0.33,0.17,0.33
"車掌が手を出しているもんですから何でも構わない、やっちまえと思って渡しましたら、車掌はまっすぐに立ち直って叮寧にそれを開いて見ていました。
そして読みながら上着のぼたんやなんかしきりに直したりしていましたし燈台看守も下からそれを熱心にのぞいていましたから、ジョバンニはたしかにあれは証明書か何かだったと考えて少し胸が熱くなるような気がしました。","The conductor was holding out his hand, so I handed it to him, thinking that I didn't care what he did with it, and he stood up straight and carefully opened it and looked at it.
As he was reading it, he was constantly adjusting his jacket, and the lighthouse guard was peering at it intently from below.",0.0,0.25,0.25,0.0,0.5
「これは三次空間の方からお持ちになったのですか。」,"Did you bring this from the tertiary space?""",0.0,0.0,0.0,1.0,0.0
車掌がたずねました。,The conductor asked.,0.0,0.0,0.0,0.0,1.0
「何だかわかりません。」,"I don't know what it is.""",0.0,0.0,0.0,1.0,0.0
もう大丈夫だと安心しながらジョバンニはそっちを見あげてくつくつ笑いました。,"Giovanni looked up and chuckled, reassuring himself that everything would be all right.",0,0,0,0,0
「よろしゅうございます。南十字へ着きますのは、次の第三時ころになります。」,"The next time we will arrive at the Southern Cross will be around the third hour of the following day. We will arrive at the Southern Cross around the next three o'clock.""",0.33,0.67,0.0,0.0,0.0
"車掌は紙をジョバンニに渡して向うへ行きました。
カムパネルラは、その紙切れが何だったか待ち兼ねたというように急いでのぞきこみました。
ジョバンニも全く早く見たかったのです。","The conductor handed the piece of paper to Giovanni and went away.
Camperla hurriedly looked at the piece of paper as if he could not wait to see what it was.
Giovanni also wanted to see it as soon as possible.",0.0,1.0,0.0,0.0,0.0
"ところがそれはいちめん黒い唐草のような模様の中に、おかしな十ばかりの字を印刷したものでだまって見ていると何だかその中へ吸い込まれてしまうような気がするのでした。
すると鳥捕りが横からちらっとそれを見てあわてたように云いました。","However, it had a black arabesque pattern with a dozen or so funny characters printed on it, and if one were to look at it without looking at it, it seemed as if one would be sucked into it.
A bird catcher glanced at it from the side and said in a panicked tone, ""I've never seen such a thing before.",0.0,0.2,0.2,0.0,0.6
「おや、こいつは大したもんですぜ。こいつはもう、ほんとうの天上へさえ行ける切符だ。天上どこじゃない、どこでも勝手にあるける通行券です。こいつをお持ちになれぁ、なるほど、こんな不完全な幻想第四次の銀河鉄道なんか、どこまででも行ける筈でさあ、あなた方大したもんですね。」,"Oh, this is a big deal,"" he said. This is a ticket to the real heaven. It is a ticket that allows you to go anywhere you want, not just to the heavens. If you have this, you can go anywhere on this incomplete, illusory, fourth-order galactic railroad.",0.0,0.0,0.67,0.33,0.0
「何だかわかりません。」,"I don't know what it is.""",0.0,0.0,0.0,1.0,0.0
"ジョバンニが赤くなって答えながらそれを又畳んでかくしに入れました。
そしてきまりが悪いのでカムパネルラと二人、また窓の外をながめていましたが、その鳥捕りの時々大したもんだというようにちらちらこっちを見ているのがぼんやりわかりました。","Giovanni turned red as he answered, and folded it up again and put it in the hiding place.
Then, embarrassed, Camperanella and I looked out the window again, and I vaguely noticed the bird catcher glancing at us every now and then, as if he was impressed.",0.1,0.3,0.1,0.1,0.4
「もうじき鷲の停車場だよ。」,"Soon we'll be at the Eagle's stop.""",0,0,0,0,0
"カムパネルラが向う岸の、三つならんだ小さな青じろい三角標と地図とを見較べて云いました。
ジョバンニはなんだかわけもわからずににわかにとなりの鳥捕りが気の毒でたまらなくなりました。
鷺をつかまえてせいせいしたとよろこんだり、白いきれでそれをくるくる包んだり、ひとの切符をびっくりしたように横目で見てあわててほめだしたり、そんなことを一一考えていると、もうその見ず知らずの鳥捕りのために、ジョバンニの持っているものでも食べるものでもなんでもやってしまいたい、もうこの人のほんとうの幸になるなら自分があの光る天の川の河原に立って百年つづけて立って鳥をとってやってもいいというような気がして、どうしてももう黙っていられなくなりました。","Giovanni was suddenly filled with pity for the bird catcher next to him.
Giovanni suddenly felt sorry for the bird catcher next to him.
He was so happy that he had caught a heron, wrapped it up in a white wrap, looked at his ticket with a startled sideways glance and began to praise it. I felt as if I would be willing to stand on the shining bank of the Milky Way and catch birds for a hundred years if it would bring him true happiness.",0.14,0.21,0.0,0.36,0.29
"ほんとうにあなたのほしいものは一体何ですか、と訊こうとして、それではあんまり出し抜けだから、どうしようかと考えて振り返って見ましたら、そこにはもうあの鳥捕りが居ませんでした。
網棚の上には白い荷物も見えなかったのです。
また窓の外で足をふんばってそらを見上げて鷺を捕る支度をしているのかと思って、急いでそっちを見ましたが、外はいちめんのうつくしい砂子と白いすすきの波ばかり、あの鳥捕りの広いせなかも尖った帽子も見えませんでした。","I was about to ask him what it was that he really wanted, but then I turned around and saw that the bird catcher was no longer there.
I looked back and saw that the bird catcher was no longer there, not even the white package on the screen shelf.
I looked out the window again, thinking that he was preparing to catch a heron, but all I could see was the beautiful sand and white waves of pampas grass, not his broad shoulders or pointed hat.",0.11,0.22,0.22,0.0,0.44
「あの人どこへ行ったろう。」,"I wonder where he went.""",0.0,0.0,1.0,0.0,0.0
カムパネルラもぼんやりそう云っていました。,Kam panela also said so vaguely.,0,0,0,0,0
「どこへ行ったろう。一体どこでまたあうのだろう。僕はどうしても少しあの人に物を言わなかったろう。」,"Where did they go? Where will we meet again? I just couldn't help but say a few words to him.""",0.0,1.0,0.0,0.0,0.0
「ああ、僕もそう思っているよ。」,"Yeah, that's what I think, too.""",0,0,0,0,0
「僕はあの人が邪魔なような気がしたんだ。だから僕は大へんつらい。」,"I felt like he was in the way. That's why it's so hard for me.""",0.0,0.5,0.0,0.5,0.0
ジョバンニはこんな変てこな気もちは、ほんとうにはじめてだし、こんなこと今まで云ったこともないと思いました。,"Giovanni had never had such a strange feeling before, and he had never said anything like this before.",0,0,0,0,0
「何だか苹果の匂がする。僕いま苹果のこと考えたためだろうか。」,I can smell apple trees. Is it because I'm thinking about apple trees right now?,0.0,0.0,0.0,0.0,1.0
カムパネルラが不思議そうにあたりを見まわしました。,Camperla looked around curiously.,0,0,0,0,0
「ほんとうに苹果の匂だよ。それから野茨の匂もする。」,"It really smells like apples. And then there's the smell of wild thorns.""",0.0,0.0,0.0,0.0,1.0
"ジョバンニもそこらを見ましたがやっぱりそれは窓からでも入って来るらしいのでした。
いま秋だから野茨の花の匂のする筈はないとジョバンニは思いました。
そしたら俄かにそこに、つやつやした黒い髪の六つばかりの男の子が赤いジャケツのぼたんもかけずひどくびっくりしたような顔をしてがたがたふるえてはだしで立っていました。","Giovanni looked around, but it seemed to be coming in through the window as well.
Giovanni thought that it was autumn and there was no way he could have smelled wild thorns.
Suddenly, there was a boy with glossy black hair, about six years old, standing there barefoot, without a red jacket and with a startled look on his face, shaking and trembling.",0.0,0.17,0.33,0.17,0.33
隣りには黒い洋服をきちんと着たせいの高い青年が一ぱいに風に吹かれているけやきの木のような姿勢で、男の子の手をしっかりひいて立っていました。,"Next to him stood a tall young man neatly dressed in black with a posture like a zelkova tree blowing in the wind, holding the boy's hand firmly.",0.0,0.0,0.25,0.0,0.75
「あら、ここどこでしょう。まあ、きれいだわ。」,"Oh, my God, where am I? Oh, my God, it's beautiful.""",0.33,0.0,0.67,0.0,0.0
青年のうしろにもひとり十二ばかりの眼の茶いろな可愛らしい女の子が黒い外套を着て青年の腕にすがって不思議そうに窓の外を見ているのでした。,"Behind the young man, there was also a pretty girl with brown eyes of about 12 years old, wearing a black cloak and hanging on to the young man's arm, looking out the window curiously.",0.25,0.0,0.25,0.5,0.0
「ああ、ここはランカシャイヤだ。いや、コンネクテカット州だ。いや、ああ、ぼくたちはそらへ来たのだ。わたしたちは天へ行くのです。ごらんなさい。あのしるしは天上のしるしです。もうなんにもこわいことありません。わたくしたちは神さまに召されているのです。」,"Oh, this is Lancashire. No, we're in the province of Konnechtikat. No, oh, we are there. We are going to heaven. Look at it. That sign is a heavenly sign. There is nothing to be afraid of anymore. We are called by God.",0.0,0.0,0.4,0.0,0.6
"黒服の青年はよろこびにかがやいてその女の子に云いました。
けれどもなぜかまた額に深く皺を刻んで、それに大へんつかれているらしく、無理に笑いながら男の子をジョバンニのとなりに座らせました。
それから女の子にやさしくカムパネルラのとなりの席を指さしました。","The young man in black was so pleased that he told the girl to sit down next to Giovanni, but for some reason she seemed to be very amused.
The young man in black, however, wrinkled his forehead deeply again and seemed to be very much amused by the situation, forcing the boy to sit next to Giovanni while laughing.
Then he gently pointed out to the girl the seat next to the cam panela.",0.0,0.0,0.3,0.5,0.2
女の子はすなおにそこへ座って、きちんと両手を組み合せました。,The girl sat down straight there and clasped her hands together neatly.,0.0,0.0,1.0,0.0,0.0
「ぼくおおねえさんのとこへ行くんだよう。」,"I'm going to visit my big sister.""",0,0,0,0,0
"腰掛けたばかりの男の子は顔を変にして燈台看守の向うの席に座ったばかりの青年に云いました。
青年は何とも云えず悲しそうな顔をして、じっとその子の、ちぢれてぬれた頭を見ました。
女の子は、いきなり両手を顔にあててしくしく泣いてしまいました。","The boy who had just sat down made a funny face and said to the young man who had just taken a seat across from the lighthouse keeper.
The young man looked at the child's head, which was wrinkled and wet, with an indescribably sad expression on his face.
The girl suddenly put her hands to her face and cried bitterly.",0.0,0.0,0.29,0.57,0.14
「お父さんやきくよねえさんはまだいろいろお仕事があるのです。けれどももうすぐあとからいらっしゃいます。それよりも、おっかさんはどんなに永く待っていらっしゃったでしょう。わたしの大事なタダシはいまどんな歌をうたっているだろう、雪の降る朝にみんなと手をつないでぐるぐるにわとこのやぶをまわってあそんでいるだろうかと考えたりほんとうに待って心配していらっしゃるんですから、早く行っておっかさんにお目にかかりましょうね。」,"Father and Kikuyo-ne-san still have a lot of work to do, but they will be here soon. But they will be here soon. But how long have you been waiting for them? I wonder what song my precious Tadashi is singing right now, or if he is playing in the snowy morning, holding hands with everyone and going round and round in circles in the forest, and I know he is really waiting and worrying, so let's hurry up and see him.",0.0,0.11,0.33,0.22,0.33
「うん、だけど僕、船に乗らなけぁよかったなあ。」,"""Yeah, but I wish I'd never gotten on the boat.""",0,0,0,0,0
「ええ、けれど、ごらんなさい、そら、どうです、あの立派な川、ね、あすこはあの夏中、ツインクル、ツインクル、リトル、スターをうたってやすむとき、いつも窓からぼんやり白く見えていたでしょう。あすこですよ。ね、きれいでしょう、あんなに光っています。」,"Yes, but look, look at that magnificent river, you know, Asuko always looked vaguely white from the window when she sang Twinkle, Twinkle, Little, Star during that summer and took a rest. That's Asuko. Isn't it beautiful, shining like that?",0.75,0.0,0.0,0.0,0.25
"泣いていた姉もハンケチで眼をふいて外を見ました。
青年は教えるようにそっと姉弟にまた云いました。","The sister, who had been crying, wiped her eyes with a handkerchief and looked outside.
The young man gently said to his sister and brother again, as if to teach them a lesson.",0.0,0.0,0.33,0.67,0.0
「わたしたちはもうなんにもかなしいことないのです。わたしたちはこんないいとこを旅して、じき神さまのとこへ行きます。そこならもうほんとうに明るくて匂がよくて立派な人たちでいっぱいです。そしてわたしたちの代りにボートへ乗れた人たちは、きっとみんな助けられて、心配して待っているめいめいのお父さんやお母さんや自分のお家へやら行くのです。さあ、もうじきですから元気を出しておもしろくうたって行きましょう。」,"We have nothing more to be sad about. We have traveled to such a nice place, and soon we will go to God. It will be full of really bright, smelly, and respectable people. And those who are able to board the boat in our place will surely be saved and will go to their own homes or to their fathers' or mothers' homes, who are waiting anxiously for them. So, let's cheer up and sing a happy song.",0.33,0.0,0.17,0.25,0.25
青年は男の子のぬれたような黒い髪をなで、みんなを慰めながら、自分もだんだん顔いろがかがやいて来ました。,"The young man stroked the boy's wet, black hair and comforted everyone while his own face gradually began to glow.",0.0,0.33,0.33,0.33,0.0
「あなた方はどちらからいらっしゃったのですか。どうなすったのですか。」,Where are you from? What have you done?,0,0,0,0,0
"さっきの燈台看守がやっと少しわかったように青年にたずねました。
青年はかすかにわらいました。","The lighthouse guard asked the young man, as if he finally understood something.
The young man laughed faintly.",0.0,0.0,0.33,0.0,0.67
「いえ、氷山にぶっつかって船が沈みましてね、わたしたちはこちらのお父さんが急な用で二ヶ月前一足さきに本国へお帰りになったのであとから発ったのです。私は大学へはいっていて、家庭教師にやとわれていたのです。ところがちょうど十二日目、今日か昨日のあたりです、船が氷山にぶっつかって一ぺんに傾きもう沈みかけました。月のあかりはどこかぼんやりありましたが、霧が非常に深かったのです。ところがボートは左舷の方半分はもうだめになっていましたから、とてもみんなは乗り切らないのです。もうそのうちにも船は沈みますし、私は必死となって、どうか小さな人たちを乗せて下さいと叫びました。近くの人たちはすぐみちを開いてそして子供たちのために祈って呉れました。けれどもそこからボートまでのところにはまだまだ小さな子どもたちや親たちやなんか居て、とても押しのける勇気がなかったのです。それでもわたくしはどうしてもこの方たちをお助けするのが私の義務だと思いましたから前にいる子供らを押しのけようとしました。けれどもまたそんなにして助けてあげるよりはこのまま神のお前にみんなで行く方がほんとうにこの方たちの幸福だとも思いました。それからまたその神にそむく罪はわたくしひとりでしょってぜひとも助けてあげようと思いました。けれどもどうして見ているとそれができないのでした。子どもらばかりボートの中へはなしてやってお母さんが狂気のようにキスを送りお父さんがかなしいのをじっとこらえてまっすぐに立っているなどとてももう腸もちぎれるようでした。そのうち船はもうずんずん沈みますから、私はもうすっかり覚悟してこの人たち二人を抱いて、浮べるだけは浮ぼうとかたまって船の沈むのを待っていました。誰が投げたかライフブイが一つ飛んで来ましたけれども滑ってずうっと向うへ行ってしまいました。私は一生けん命で甲板の格子になったとこをはなして、三人それにしっかりとりつきました。どこからともなく〔約二字分空白〕番の声があがりました。たちまちみんなはいろいろな国語で一ぺんにそれをうたいました。そのとき俄かに大きな音がして私たちは水に落ちもう渦に入ったと思いながらしっかりこの人たちをだいてそれからぼうっとしたと思ったらもうここへ来ていたのです。この方たちのお母さんは一昨年没くなられました。ええボートはきっと助かったにちがいありません、何せよほど熟練な水夫たちが漕いですばやく船からはなれていましたから。」,"We left after my father, who had to return to his home country two months earlier for an urgent matter. I was in college and had been hired as a tutor. However, on the twelfth day, which was either today or yesterday, the ship hit an iceberg, tilted over on one side, and was about to sink. The moonlight was dim, but the fog was very deep. However, the port half of the boat was already ruined, so it was impossible for everyone to get on board. I desperately called out for help to get the little people on board. People nearby immediately opened the way and prayed for the children. However, there were still many small children, parents, and others on the way to the boat, and I didn't have the courage to push them away. I felt it was my duty to help them, so I tried to push the children in front of me out of the way. However, I also thought that it would be better for them to go to you, God, rather than to help them. Then I decided that I alone was responsible for the sin against God, and I would definitely help them. But I couldn't see why I couldn't do that. I felt as if my guts were being torn out as I watched the mother kissing her children madly and the father standing straight and holding back his sadness. I was already prepared for the fact that the boat was going to sink very slowly, so I held them both in my arms and waited for the boat to sink, trying to stay afloat as long as I could. One of the life buoys that had been thrown by someone had flown off the boat, but it had slipped and gone the other way. I pulled off the latticework of the deck with all my might, and the three of us held on to it tightly. Out of nowhere, there were shouts of ""Kuban! Immediately, everyone sang it at once in various languages. Then suddenly there was a loud noise, and we fell into the water, thinking we were already in the whirlpool, but we followed them closely, and just when we thought we were out of sight, here they were. Their mother died the year before last. Yes, the boat must have survived, because it was rowed quickly away from the boat by some very skilled sailors.",0.02,0.1,0.12,0.31,0.44
そこらから小さないのりの声が聞えジョバンニもカムパネルラもいままで忘れていたいろいろのことをぼんやり思い出して眼が熱くなりました。,"The sound of small glue could be heard from the area, and both Giovanni and Kam Panela's eyes were burning as they vaguely recalled various things that they had forgotten.",0.0,0.25,0.5,0.25,0.0
（ああ、その大きな海はパシフィックというのではなかったろうか。その氷山の流れる北のはての海で、小さな船に乗って、風や凍りつく潮水や、烈しい寒さとたたかって、たれかが一生けんめいはたらいている。ぼくはそのひとにほんとうに気の毒でそしてすまないような気がする。ぼくはそのひとのさいわいのためにいったいどうしたらいいのだろう。）ジョバンニは首を垂れて、すっかりふさぎ込んでしまいました。,"(Oh, isn't that big ocean called the Pacific? ) In the far north where the icebergs flow, a person is working hard in a small boat against the wind, the freezing water, and the bitter cold. I feel truly sorry for that person. What am I going to do for the sake of that person's happiness?) Giovanni hung his head and became completely depressed.",0.1,0.2,0.1,0.3,0.3
「なにがしあわせかわからないです。ほんとうにどんなつらいことでもそれがただしいみちを進む中でのできごとなら峠の上りも下りもみんなほんとうの幸福に近づく一あしずつですから。」,"I don't know what is happiness. If it is an event on the right path, no matter how painful it really is, then every step up or down the mountain pass is a step closer to true happiness.",0.4,0.0,0.0,0.4,0.2
燈台守がなぐさめていました。,The lighthouse keeper was consoled.,1.0,0.0,0.0,0.0,0.0
「ああそうです。ただいちばんのさいわいに至るためにいろいろのかなしみもみんなおぼしめしです。」,"Yes, it is so. But to attain the greatest of all, we must also dread all our sorrows.""",0.0,0.0,0.0,1.0,0.0
"青年が祈るようにそう答えました。
そしてあの姉弟はもうつかれてめいめいぐったり席によりかかって睡っていました。
さっきのあのはだしだった足にはいつか白い柔らかな靴をはいていたのです。","The young man answered as if in prayer.
The two sisters were already tired and were sleeping, leaning back in their seats.
The barefooted feet were now wearing soft white shoes.",0.0,0.0,0.0,0.0,1.0
"ごとごとごとごと汽車はきらびやかな燐光の川の岸を進みました。
向うの方の窓を見ると、野原はまるで幻燈のようでした。
百も千もの大小さまざまの三角標、その大きなものの上には赤い点点をうった測量旗も見え、野原のはてはそれらがいちめん、たくさんたくさん集ってぼおっと青白い霧のよう、そこからかまたはもっと向うからかときどきさまざまの形のぼんやりした狼煙のようなものが、かわるがわるきれいな桔梗いろのそらにうちあげられるのでした。","Train after train moved along the banks of the river in a glittering phosphorescent glow.
Looking out the window on the other side, the field looked like an optical illusion.
Hundreds and thousands of triangles of all shapes and sizes, with red dotted surveying flags atop the larger ones, were gathered together at the edge of the field like a pale blue mist, and from there, or even further out, sometimes vague wisps of various shapes and sizes were seen, changing from time to time. From there, or from further away, sometimes vague wolfsbane-like shapes of various shapes and sizes would appear, and then they would be shot up into the beautiful bellflower-colored sky.",0.09,0.36,0.0,0.18,0.36
じつにそのすきとおった奇麗な風は、ばらの匂でいっぱいでした。,"Indeed, the clear, beautiful wind was full of the smell of roses.",0.33,0.0,0.0,0.33,0.33
「いかがですか。こういう苹果はおはじめてでしょう。」,"How do you like it? You've never had apples like this before, have you?""",0,0,0,0,0
向うの席の燈台看守がいつか黄金と紅でうつくしくいろどられた大きな苹果を落さないように両手で膝の上にかかえていました。,The lighthouse guard sitting across from me was holding a large apple or fruit in his lap with both hands to keep it from falling.,0.0,0.0,1.0,0.0,0.0
「おや、どっから来たのですか。立派ですねえ。ここらではこんな苹果ができるのですか。」,"Oh, where did you come from? They are magnificent. Can you grow apples like this around here?""",1.0,0.0,0.0,0.0,0.0
青年はほんとうにびっくりしたらしく燈台看守の両手にかかえられた一もりの苹果を眼を細くしたり首をまげたりしながらわれを忘れてながめていました。,"The young man was truly astonished as he gazed at the apple in the lighthouse guard's hands, his eyes narrowed and his head craned as he gazed in blank amazement.",0.0,0.0,0.83,0.0,0.17
「いや、まあおとり下さい。どうか、まあおとり下さい。」,"No, please take it. Please, just take it.",0,0,0,0,0
青年は一つとってジョバンニたちの方をちょっと見ました。,The young man took one and looked briefly at Giovanni and the others.,0,0,0,0,0
「さあ、向うの坊ちゃんがた。いかがですか。おとり下さい。」,"Now, the little boy over there. How do you like it? Please take one.",0,0,0,0,0
ジョバンニは坊ちゃんといわれたのですこししゃくにさわってだまっていましたがカムパネルラは,Giovanni was a little embarrassed because he was called a little boy and kept his mouth shut.,0.0,0.33,0.0,0.33,0.33
「ありがとう、」と云いました。,"I said, ""Thank you.",0,0,0,0,0
"すると青年は自分でとって一つずつ二人に送ってよこしましたのでジョバンニも立ってありがとうと云いました。
燈台看守はやっと両腕があいたのでこんどは自分で一つずつ睡っている姉弟の膝にそっと置きました。","Giovanni stood up and thanked him.
The lighthouse guard finally freed his arms and placed one in each of the sleeping siblings' lap.",0.2,0.0,0.2,0.2,0.4
「どうもありがとう。どこでできるのですか。こんな立派な苹果は。」,Thank you very much. Where can I find such a fine apple? Such fine apples.,1.0,0.0,0.0,0.0,0.0
青年はつくづく見ながら云いました。,The young man said as he gazed intently at it.,0.0,0.0,1.0,0.0,0.0
「この辺ではもちろん農業はいたしますけれども大ていひとりでにいいものができるような約束になって居ります。農業だってそんなに骨は折れはしません。たいてい自分の望む種子さえ播けばひとりでにどんどんできます。米だってパシフィック辺のように殻もないし十倍も大きくて匂もいいのです。けれどもあなたがたのいらっしゃる方なら農業はもうありません。苹果だってお菓子だってかすが少しもありませんからみんなそのひとそのひとによってちがったわずかのいいかおりになって毛あなからちらけてしまうのです。」,"In this area, of course, we do farming, but it's a promise that we can produce good products on our own. Farming is not that difficult. If you sow the seeds you want, you can usually get a lot of crops on your own. Rice does not have a husk like in the Pacific, and it is ten times larger and smells better. But where you are, there is no more agriculture. Even apples and sweets have no husks, so they all have a slightly different fragrance, and it scatters out of the pores of the hair.",0.0,0.0,0.17,0.5,0.33
にわかに男の子がぱっちり眼をあいて云いました。,"The boy suddenly opened his eyes and said, ""I'm sorry, I don't understand.",0.0,0.0,0.0,0.67,0.33
「ああぼくいまお母さんの夢をみていたよ。お母さんがね立派な戸棚や本のあるとこに居てね、ぼくの方を見て手をだしてにこにこにこにこわらったよ。ぼくおっかさん。りんごをひろってきてあげましょうか云ったら眼がさめちゃった。ああここさっきの汽車のなかだねえ。」,"I was dreaming about my mother. She was in a place with a big cupboard and books, and she looked at me and put out her hand and smiled at me and laughed. She looked at me, put out her hand, and smiled at me. I said, ""Shall I fetch you an apple? Oh, I was on the train, wasn't I?",0.4,0.0,0.0,0.4,0.2
「その苹果がそこにあります。このおじさんにいただいたのですよ。」,"There is that apple there. This uncle gave it to me.""",0.0,0.0,0.0,0.0,1.0
青年が云いました。,The young man said.,0,0,0,0,0
「ありがとうおじさん。おや、かおるねえさんまだねてるねえ、ぼくおこしてやろう。ねえさん。ごらん、りんごをもらったよ。おきてごらん。」,"Thank you, Uncle. Oh, Kaoru-san is still sleeping, I'll wake her up. Look, I got an apple. Look, I got an apple. Come here.",0,0,0,0,0
"姉はわらって眼をさましまぶしそうに両手を眼にあててそれから苹果を見ました。
男の子はまるでパイを喰べるようにもうそれを喰べていました、また折角剥いたそのきれいな皮も、くるくるコルク抜きのような形になって床へ落ちるまでの間にはすうっと、灰いろに光って蒸発してしまうのでした。
二人はりんごを大切にポケットにしまいました。","The elder sister wandered around, put her hands over her eyes glaringly, and then looked at the apple.
The boy had already eaten it as if he were eating a pie, and the beautiful skin he had just peeled off had evaporated into an ashen glow before it curled up like a corkscrew and fell to the floor.
The two of them carefully tucked the apple into their pockets.",0.1,0.3,0.3,0.1,0.2
"川下の向う岸に青く茂った大きな林が見え、その枝には熟してまっ赤に光る円い実がいっぱい、その林のまん中に高い高い三角標が立って、森の中からはオーケストラベルやジロフォンにまじって何とも云えずきれいな音いろが、とけるように浸みるように風につれて流れて来るのでした。
青年はぞくっとしてからだをふるうようにしました。
だまってその譜を聞いていると、そこらにいちめん黄いろやうすい緑の明るい野原か敷物かがひろがり、またまっ白な蝋のような露が太陽の面を擦めて行くように思われました。","A large, thick, blue forest could be seen on the opposite bank of the river, its branches were full of ripe, glowing red berries, and in the middle of the forest stood a tall triangular marker.
The young man was horrified and shook his body.
As he listened to the music, it seemed as if bright yellow and light green fields and rugs were spreading out all around him, and white waxy dew was brushing the surface of the sun.",0.08,0.17,0.08,0.08,0.58
「まあ、あの烏。」,"""Well, that raven.""",0.0,0.0,0.0,0.0,1.0
カムパネルラのとなりのかおると呼ばれた女の子が叫びました。,"A girl called Kaoru, next to Kam panela, shouted.",0.0,0.0,1.0,0.0,0.0
「からすでない。みんなかささぎだ。」,"They are not ravens. They're all magpies.""",0.0,0.0,0.0,0.0,1.0
"カムパネルラがまた何気なく叱るように叫びましたので、ジョバンニはまた思わず笑い、女の子はきまり悪そうにしました。
まったく河原の青じろいあかりの上に、黒い鳥がたくさんたくさんいっぱいに列になってとまってじっと川の微光を受けているのでした。","Giovanni laughed again and the girl looked embarrassed.
The girl looked uncomfortable.",0.0,0.0,0.75,0.0,0.25
「かささぎですねえ、頭のうしろのとこに毛がぴんと延びてますから。」,"It's a little bit of a buzzard, because it's got a big tuft of hair on the back of its head.""",0.0,0.0,0.5,0.0,0.5
